"observation","site_no","dateTime","water discharge","nitrite+nitrate","latitude","longitude","altitude"
"1","04175748",2021-04-07,8.26,2.05,41.8579611,-84.1596944,798.79
"2","04175748",2021-04-08,7.6,2.03,41.8579611,-84.1596944,798.79
"3","04175748",2021-04-09,7.57,2.01,41.8579611,-84.1596944,798.79
"4","04175748",2021-04-10,7.09,2,41.8579611,-84.1596944,798.79
"5","04175748",2021-04-11,53.7,2.6,41.8579611,-84.1596944,798.79
"6","04175748",2021-04-12,53.2,3.06,41.8579611,-84.1596944,798.79
"7","04175748",2021-04-13,25.8,3.29,41.8579611,-84.1596944,798.79
"8","04175748",2021-04-14,15.9,2.5,41.8579611,-84.1596944,798.79
"9","04175748",2021-04-15,11.9,1.95,41.8579611,-84.1596944,798.79
"10","04175748",2021-04-16,9.78,1.93,41.8579611,-84.1596944,798.79
"11","04175748",2021-04-17,8.34,1.92,41.8579611,-84.1596944,798.79
"12","04175748",2021-04-18,7.35,1.9,41.8579611,-84.1596944,798.79
"13","04175748",2021-04-19,6.53,1.89,41.8579611,-84.1596944,798.79
"14","04175748",2021-04-20,6.18,1.87,41.8579611,-84.1596944,798.79
"15","04175748",2021-04-21,7.22,1.86,41.8579611,-84.1596944,798.79
"16","04175748",2021-04-22,8.71,1.84,41.8579611,-84.1596944,798.79
"17","04175748",2021-04-23,7.19,1.83,41.8579611,-84.1596944,798.79
"18","04175748",2021-04-24,6.92,1.82,41.8579611,-84.1596944,798.79
"19","04175748",2021-04-25,6.58,1.8,41.8579611,-84.1596944,798.79
"20","04175748",2021-04-26,5.35,1.79,41.8579611,-84.1596944,798.79
"21","04175748",2021-04-27,5.24,1.77,41.8579611,-84.1596944,798.79
"22","04175748",2021-04-28,4.44,1.76,41.8579611,-84.1596944,798.79
"23","04175748",2021-04-29,5.94,1.74,41.8579611,-84.1596944,798.79
"24","04175748",2021-04-30,7.3,1.73,41.8579611,-84.1596944,798.79
"25","04175748",2021-05-01,5.5,1.72,41.8579611,-84.1596944,798.79
"26","04175748",2021-05-02,4.78,1.7,41.8579611,-84.1596944,798.79
"27","04175748",2021-05-03,5.1,1.69,41.8579611,-84.1596944,798.79
"28","04175748",2021-05-04,6.53,1.67,41.8579611,-84.1596944,798.79
"29","04175748",2021-05-05,5.52,1.66,41.8579611,-84.1596944,798.79
"30","04175748",2021-05-06,5.24,1.64,41.8579611,-84.1596944,798.79
"31","04175748",2021-05-07,5.67,1.63,41.8579611,-84.1596944,798.79
"32","04175748",2021-05-08,5.16,1.61,41.8579611,-84.1596944,798.79
"33","04175748",2021-05-09,10.2,1.75,41.8579611,-84.1596944,798.79
"34","04175748",2021-05-10,20.3,3.7,41.8579611,-84.1596944,798.79
"35","04175748",2021-05-11,10.3,1.81,41.8579611,-84.1596944,798.79
"36","04175748",2021-05-12,7.14,1.41,41.8579611,-84.1596944,798.79
"37","04175748",2021-05-13,5.7,1.37,41.8579611,-84.1596944,798.79
"38","04175748",2021-05-14,4.81,1.33,41.8579611,-84.1596944,798.79
"39","04175748",2021-05-15,4.14,1.3,41.8579611,-84.1596944,798.79
"40","04175748",2021-05-16,3.68,1.26,41.8579611,-84.1596944,798.79
"41","04175748",2021-05-17,3.35,1.22,41.8579611,-84.1596944,798.79
"42","04175748",2021-05-18,2.85,1.18,41.8579611,-84.1596944,798.79
"43","04175748",2021-05-19,2.52,1.15,41.8579611,-84.1596944,798.79
"44","04175748",2021-05-20,2.85,1.11,41.8579611,-84.1596944,798.79
"45","04175748",2021-05-21,2.41,1.07,41.8579611,-84.1596944,798.79
"46","04175748",2021-05-22,2.45,1.03,41.8579611,-84.1596944,798.79
"47","04175748",2021-05-23,2.23,0.995,41.8579611,-84.1596944,798.79
"48","04175748",2021-05-24,2.12,0.957,41.8579611,-84.1596944,798.79
"49","04175748",2021-05-25,2.01,0.919,41.8579611,-84.1596944,798.79
"50","04175748",2021-05-26,1.75,0.881,41.8579611,-84.1596944,798.79
"51","04175748",2021-05-27,1.43,0.847,41.8579611,-84.1596944,798.79
"52","04175748",2021-05-28,1.73,0.84,41.8579611,-84.1596944,798.79
"53","04175748",2021-05-29,2.46,0.84,41.8579611,-84.1596944,798.79
"54","04175748",2021-05-30,1.71,0.84,41.8579611,-84.1596944,798.79
"55","04175748",2021-05-31,1.26,0.84,41.8579611,-84.1596944,798.79
"56","04175748",2021-06-01,0.99,0.84,41.8579611,-84.1596944,798.79
"57","04175748",2021-06-02,1.23,0.84,41.8579611,-84.1596944,798.79
"58","04175748",2021-06-03,4.69,0.84,41.8579611,-84.1596944,798.79
"59","04175748",2021-06-04,2.91,0.84,41.8579611,-84.1596944,798.79
"60","04175748",2021-06-05,1.82,0.84,41.8579611,-84.1596944,798.79
"61","04175748",2021-06-06,1.26,0.84,41.8579611,-84.1596944,798.79
"62","04175748",2021-06-07,0.9,0.84,41.8579611,-84.1596944,798.79
"63","04175748",2021-06-08,0.82,0.84,41.8579611,-84.1596944,798.79
"64","04175748",2021-06-09,0.71,0.84,41.8579611,-84.1596944,798.79
"65","04175748",2021-06-10,0.61,0.84,41.8579611,-84.1596944,798.79
"66","04175748",2021-06-11,0.46,0.84,41.8579611,-84.1596944,798.79
"67","04175748",2021-06-12,0.31,0.84,41.8579611,-84.1596944,798.79
"68","04175748",2021-06-13,0.24,0.84,41.8579611,-84.1596944,798.79
"69","04175748",2021-06-14,0.16,0.84,41.8579611,-84.1596944,798.79
"70","04175748",2021-06-15,0.14,0.84,41.8579611,-84.1596944,798.79
"71","04175748",2021-06-16,0.09,0.84,41.8579611,-84.1596944,798.79
"72","04175748",2021-06-17,0.07,0.84,41.8579611,-84.1596944,798.79
"73","04175748",2021-06-18,0.53,0.84,41.8579611,-84.1596944,798.79
"74","04175748",2021-06-19,0.67,0.84,41.8579611,-84.1596944,798.79
"75","04175748",2021-06-20,2.71,1.06,41.8579611,-84.1596944,798.79
"76","04175748",2021-06-21,153,14.6,41.8579611,-84.1596944,798.79
"77","04175748",2021-06-22,69.8,6.96,41.8579611,-84.1596944,798.79
"78","04175748",2021-06-23,19.4,2.66,41.8579611,-84.1596944,798.79
"79","04175748",2021-06-24,9.76,1.79,41.8579611,-84.1596944,798.79
"80","04175748",2021-06-25,21.1,2.71,41.8579611,-84.1596944,798.79
"81","04175748",2021-06-26,159,12.7,41.8579611,-84.1596944,798.79
"82","04175748",2021-06-27,62,11.9,41.8579611,-84.1596944,798.79
"83","04175748",2021-06-28,20.6,5.14,41.8579611,-84.1596944,798.79
"84","04175748",2021-06-29,13.1,0.808,41.8579611,-84.1596944,798.79
"85","04175748",2021-06-30,9.26,0.8,41.8579611,-84.1596944,798.79
"86","04175748",2021-07-01,7.46,0.8,41.8579611,-84.1596944,798.79
"87","04175748",2021-07-02,5.46,0.8,41.8579611,-84.1596944,798.79
"88","04175748",2021-07-03,3.95,0.8,41.8579611,-84.1596944,798.79
"89","04175748",2021-07-04,2.99,0.8,41.8579611,-84.1596944,798.79
"90","04175748",2021-07-05,2.21,0.8,41.8579611,-84.1596944,798.79
"91","04175748",2021-07-06,1.67,0.8,41.8579611,-84.1596944,798.79
"92","04175748",2021-07-07,1.36,0.8,41.8579611,-84.1596944,798.79
"93","04175748",2021-07-08,1.42,0.8,41.8579611,-84.1596944,798.79
"94","04175748",2021-07-09,1.22,0.8,41.8579611,-84.1596944,798.79
"95","04175748",2021-07-10,0.9,0.8,41.8579611,-84.1596944,798.79
"96","04175748",2021-07-11,1.17,0.8,41.8579611,-84.1596944,798.79
"97","04175748",2021-07-12,1.72,0.8,41.8579611,-84.1596944,798.79
"98","04175748",2021-07-13,16.7,3.15,41.8579611,-84.1596944,798.79
"99","04175748",2021-07-14,48.2,6.05,41.8579611,-84.1596944,798.79
"100","04175748",2021-07-15,11.2,5.42,41.8579611,-84.1596944,798.79
"101","04175748",2021-07-16,29.7,4.24,41.8579611,-84.1596944,798.79
"102","04175748",2021-07-17,158,4.65,41.8579611,-84.1596944,798.79
"103","04175748",2021-07-18,53.1,4.4,41.8579611,-84.1596944,798.79
"104","04175748",2021-07-19,19,3.75,41.8579611,-84.1596944,798.79
"105","04175748",2021-07-20,10.9,3.08,41.8579611,-84.1596944,798.79
"106","04175748",2021-07-21,6.87,2.41,41.8579611,-84.1596944,798.79
"107","04175748",2021-07-22,4.43,1.74,41.8579611,-84.1596944,798.79
